,Date,Symbol,close_price,medrv
1910,08/19/2022,5Yr,3.11,0
1911,08/22/2022,5Yr,3.17,0
1912,08/23/2022,5Yr,3.18,0
1913,08/24/2022,5Yr,3.2,0
1914,08/25/2022,5Yr,3.15,0
1915,08/26/2022,5Yr,3.2,0
1916,08/29/2022,5Yr,3.27,0
1917,08/30/2022,5Yr,3.27,0
1918,08/31/2022,5Yr,3.3,0
1919,09/01/2022,5Yr,3.39,0
1920,09/02/2022,5Yr,3.3,0
1921,09/06/2022,5Yr,3.43,0
1922,09/07/2022,5Yr,3.37,0
1923,09/08/2022,5Yr,3.39,0
1924,09/09/2022,5Yr,3.45,0
1925,09/12/2022,5Yr,3.47,0
1926,09/13/2022,5Yr,3.58,0
1927,09/14/2022,5Yr,3.6,0
1928,09/15/2022,5Yr,3.66,0
1929,09/16/2022,5Yr,3.62,0
1930,09/19/2022,5Yr,3.69,0
1931,09/20/2022,5Yr,3.75,0
1932,09/21/2022,5Yr,3.74,0
1933,09/22/2022,5Yr,3.91,0
1934,09/23/2022,5Yr,3.96,0
1935,09/26/2022,5Yr,4.15,0
1936,09/27/2022,5Yr,4.21,0
1937,09/28/2022,5Yr,3.92,0
1938,09/29/2022,5Yr,3.98,0
1939,09/30/2022,5Yr,4.06,0
1940,10/03/2022,5Yr,3.9,0
1941,10/04/2022,5Yr,3.84,0
1942,10/05/2022,5Yr,3.96,0
1943,10/06/2022,5Yr,4.05,0
1944,10/07/2022,5Yr,4.14,0
1945,10/11/2022,5Yr,4.14,0
1946,10/12/2022,5Yr,4.12,0
1947,10/13/2022,5Yr,4.21,0
1948,10/14/2022,5Yr,4.25,0
1949,10/17/2022,5Yr,4.24,0
1950,10/18/2022,5Yr,4.21,0
1951,10/19/2022,5Yr,4.35,0
1952,10/20/2022,5Yr,4.45,0
1953,10/21/2022,5Yr,4.34,0
1954,10/24/2022,5Yr,4.36,0
1955,10/25/2022,5Yr,4.25,0
1956,10/26/2022,5Yr,4.2,0
1957,10/27/2022,5Yr,4.09,0
1958,10/28/2022,5Yr,4.19,0
1959,10/31/2022,5Yr,4.27,0
1960,11/01/2022,5Yr,4.27,0
1961,11/02/2022,5Yr,4.3,0
1962,11/03/2022,5Yr,4.36,0
1963,11/04/2022,5Yr,4.33,0
1964,11/07/2022,5Yr,4.39,0
1965,11/08/2022,5Yr,4.31,0
1966,11/09/2022,5Yr,4.27,0
1967,11/10/2022,5Yr,3.95,0
1968,11/14/2022,5Yr,4.0,0
1969,11/15/2022,5Yr,3.93,0
1970,11/16/2022,5Yr,3.83,0
1971,01/03/2022,7Yr,1.55,0
1972,01/04/2022,7Yr,1.57,0
1973,01/05/2022,7Yr,1.62,0
1974,01/06/2022,7Yr,1.66,0
1975,01/07/2022,7Yr,1.69,0
1976,01/10/2022,7Yr,1.71,0
1977,01/11/2022,7Yr,1.69,0
1978,01/12/2022,7Yr,1.67,0
1979,01/13/2022,7Yr,1.64,0
1980,01/14/2022,7Yr,1.72,0
1981,01/18/2022,7Yr,1.82,0
1982,01/19/2022,7Yr,1.78,0
1983,01/20/2022,7Yr,1.77,0
1984,01/21/2022,7Yr,1.7,0
1985,01/24/2022,7Yr,1.69,0
1986,01/25/2022,7Yr,1.73,0
1987,01/26/2022,7Yr,1.81,0
1988,01/27/2022,7Yr,1.78,0
1989,01/28/2022,7Yr,1.74,0
1990,01/31/2022,7Yr,1.75,0
1991,02/01/2022,7Yr,1.76,0
1992,02/02/2022,7Yr,1.74,0
1993,02/03/2022,7Yr,1.78,0
1994,02/04/2022,7Yr,1.9,0
1995,02/07/2022,7Yr,1.88,0
1996,02/08/2022,7Yr,1.93,0
1997,02/09/2022,7Yr,1.92,0
1998,02/10/2022,7Yr,2.03,0
1999,02/11/2022,7Yr,1.92,0
2000,02/14/2022,7Yr,1.98,0
2001,02/15/2022,7Yr,2.03,0
2002,02/16/2022,7Yr,2.0,0
2003,02/17/2022,7Yr,1.94,0
2004,02/18/2022,7Yr,1.9,0
2005,02/22/2022,7Yr,1.93,0
2006,02/23/2022,7Yr,1.98,0
2007,02/24/2022,7Yr,1.94,0
2008,02/25/2022,7Yr,1.96,0
2009,02/28/2022,7Yr,1.81,0
2010,03/01/2022,7Yr,1.67,0
2011,03/02/2022,7Yr,1.83,0
2012,03/03/2022,7Yr,1.82,0
2013,03/04/2022,7Yr,1.7,0
2014,03/07/2022,7Yr,1.77,0
2015,03/08/2022,7Yr,1.85,0
2016,03/09/2022,7Yr,1.92,0
2017,03/10/2022,7Yr,1.98,0
2018,03/11/2022,7Yr,2.01,0
2019,03/14/2022,7Yr,2.16,0
2020,03/15/2022,7Yr,2.16,0
2021,03/16/2022,7Yr,2.22,0
2022,03/17/2022,7Yr,2.22,0
2023,03/18/2022,7Yr,2.17,0
2024,03/21/2022,7Yr,2.36,0
2025,03/22/2022,7Yr,2.42,0
2026,03/23/2022,7Yr,2.37,0
2027,03/24/2022,7Yr,2.39,0
2028,03/25/2022,7Yr,2.56,0
2029,03/28/2022,7Yr,2.55,0
2030,03/29/2022,7Yr,2.5,0
2031,03/30/2022,7Yr,2.43,0
2032,03/31/2022,7Yr,2.4,0
2033,04/01/2022,7Yr,2.5,0
2034,04/04/2022,7Yr,2.52,0
2035,04/05/2022,7Yr,2.65,0
2036,04/06/2022,7Yr,2.69,0
2037,04/07/2022,7Yr,2.73,0
2038,04/08/2022,7Yr,2.79,0
2039,04/11/2022,7Yr,2.84,0
2040,04/12/2022,7Yr,2.73,0
2041,04/13/2022,7Yr,2.71,0
2042,04/14/2022,7Yr,2.84,0
2043,04/18/2022,7Yr,2.85,0
2044,04/19/2022,7Yr,2.95,0
2045,04/20/2022,7Yr,2.88,0
2046,04/21/2022,7Yr,2.96,0
2047,04/22/2022,7Yr,2.95,0
2048,04/25/2022,7Yr,2.85,0
2049,04/26/2022,7Yr,2.8,0
2050,04/27/2022,7Yr,2.84,0
2051,04/28/2022,7Yr,2.88,0
2052,04/29/2022,7Yr,2.94,0
2053,05/02/2022,7Yr,3.04,0
2054,05/03/2022,7Yr,3.03,0
2055,05/04/2022,7Yr,2.97,0
2056,05/05/2022,7Yr,3.07,0
2057,05/06/2022,7Yr,3.13,0
2058,05/09/2022,7Yr,3.04,0
2059,05/10/2022,7Yr,2.99,0
2060,05/11/2022,7Yr,2.94,0
2061,05/12/2022,7Yr,2.86,0
2062,05/13/2022,7Yr,2.95,0
2063,05/16/2022,7Yr,2.89,0
2064,05/17/2022,7Yr,3.0,0
2065,05/18/2022,7Yr,2.91,0
2066,05/19/2022,7Yr,2.87,0
2067,05/20/2022,7Yr,2.82,0
2068,05/23/2022,7Yr,2.9,0
2069,05/24/2022,7Yr,2.8,0
2070,05/25/2022,7Yr,2.76,0
2071,05/26/2022,7Yr,2.75,0
2072,05/27/2022,7Yr,2.76,0
2073,05/31/2022,7Yr,2.87,0
2074,06/01/2022,7Yr,2.98,0
2075,06/02/2022,7Yr,2.95,0
2076,06/03/2022,7Yr,2.99,0
2077,06/06/2022,7Yr,3.07,0
2078,06/07/2022,7Yr,3.02,0
2079,06/08/2022,7Yr,3.06,0
2080,06/09/2022,7Yr,3.08,0
2081,06/10/2022,7Yr,3.24,0
2082,06/13/2022,7Yr,3.53,0
2083,06/14/2022,7Yr,3.6,0
2084,06/15/2022,7Yr,3.39,0
2085,06/16/2022,7Yr,3.36,0
2086,06/17/2022,7Yr,3.34,0
2087,06/21/2022,7Yr,3.39,0
2088,06/22/2022,7Yr,3.24,0
2089,06/23/2022,7Yr,3.16,0
2090,06/24/2022,7Yr,3.19,0
2091,06/27/2022,7Yr,3.27,0
2092,06/28/2022,7Yr,3.27,0
2093,06/29/2022,7Yr,3.17,0
2094,06/30/2022,7Yr,3.04,0
2095,07/01/2022,7Yr,2.92,0
2096,07/05/2022,7Yr,2.87,0
2097,07/06/2022,7Yr,2.99,0
2098,07/07/2022,7Yr,3.07,0
2099,07/08/2022,7Yr,3.16,0
2100,07/11/2022,7Yr,3.06,0
2101,07/12/2022,7Yr,3.01,0
2102,07/13/2022,7Yr,3.0,0
2103,07/14/2022,7Yr,3.05,0
2104,07/15/2022,7Yr,3.03,0
2105,07/18/2022,7Yr,3.05,0
