,Date,Symbol,close_price,medrv
27001,10/29/2012,7Yr,1.16,0
27000,10/31/2012,7Yr,1.14,0
26999,11/01/2012,7Yr,1.16,0
26998,11/02/2012,7Yr,1.16,0
26997,11/05/2012,7Yr,1.13,0
26996,11/06/2012,7Yr,1.19,0
26995,11/07/2012,7Yr,1.08,0
26994,11/08/2012,7Yr,1.04,0
26993,11/09/2012,7Yr,1.04,0
26992,11/13/2012,7Yr,1.02,0
26991,11/14/2012,7Yr,1.03,0
26990,11/15/2012,7Yr,1.02,0
26989,11/16/2012,7Yr,1.01,0
26988,11/19/2012,7Yr,1.04,0
26987,11/20/2012,7Yr,1.09,0
26986,11/21/2012,7Yr,1.11,0
26985,11/23/2012,7Yr,1.12,0
26984,11/26/2012,7Yr,1.09,0
26983,11/27/2012,7Yr,1.07,0
26982,11/28/2012,7Yr,1.05,0
26981,11/29/2012,7Yr,1.04,0
26980,11/30/2012,7Yr,1.04,0
26979,12/03/2012,7Yr,1.05,0
26978,12/04/2012,7Yr,1.04,0
26977,12/05/2012,7Yr,1.02,0
26976,12/06/2012,7Yr,1.0,0
26975,12/07/2012,7Yr,1.04,0
26974,12/10/2012,7Yr,1.04,0
26973,12/11/2012,7Yr,1.06,0
26972,12/12/2012,7Yr,1.11,0
26971,12/13/2012,7Yr,1.15,0
26970,12/14/2012,7Yr,1.15,0
26969,12/17/2012,7Yr,1.2,0
26968,12/18/2012,7Yr,1.25,0
26967,12/19/2012,7Yr,1.24,0
26966,12/20/2012,7Yr,1.24,0
26965,12/21/2012,7Yr,1.2,0
26964,12/24/2012,7Yr,1.22,0
26963,12/26/2012,7Yr,1.2,0
26962,12/27/2012,7Yr,1.15,0
26961,12/28/2012,7Yr,1.15,0
26960,12/31/2012,7Yr,1.18,0
26959,01/02/2013,7Yr,1.25,0
26958,01/03/2013,7Yr,1.31,0
26957,01/04/2013,7Yr,1.32,0
26956,01/07/2013,7Yr,1.31,0
26955,01/08/2013,7Yr,1.28,0
26954,01/09/2013,7Yr,1.27,0
26953,01/10/2013,7Yr,1.3,0
26952,01/11/2013,7Yr,1.28,0
26951,01/14/2013,7Yr,1.27,0
26950,01/15/2013,7Yr,1.24,0
26949,01/16/2013,7Yr,1.23,0
26948,01/17/2013,7Yr,1.29,0
26947,01/18/2013,7Yr,1.26,0
26946,01/22/2013,7Yr,1.25,0
26945,01/23/2013,7Yr,1.24,0
26944,01/24/2013,7Yr,1.26,0
26943,01/25/2013,7Yr,1.36,0
26942,01/28/2013,7Yr,1.38,0
26941,01/29/2013,7Yr,1.4,0
26940,01/30/2013,7Yr,1.39,0
26939,01/31/2013,7Yr,1.38,0
26938,02/01/2013,7Yr,1.4,0
26937,02/04/2013,7Yr,1.36,0
26936,02/05/2013,7Yr,1.39,0
26935,02/06/2013,7Yr,1.35,0
26934,02/07/2013,7Yr,1.34,0
26933,02/08/2013,7Yr,1.34,0
26932,02/11/2013,7Yr,1.35,0
26931,02/12/2013,7Yr,1.38,0
26930,02/13/2013,7Yr,1.43,0
26929,02/14/2013,7Yr,1.37,0
26928,02/15/2013,7Yr,1.38,0
26927,02/19/2013,7Yr,1.41,0
26926,02/20/2013,7Yr,1.38,0
26925,02/21/2013,7Yr,1.36,0
26924,02/22/2013,7Yr,1.34,0
26923,02/25/2013,7Yr,1.25,0
26922,02/26/2013,7Yr,1.25,0
26921,02/27/2013,7Yr,1.28,0
26920,02/28/2013,7Yr,1.26,0
26919,03/01/2013,7Yr,1.23,0
26918,03/04/2013,7Yr,1.25,0
26917,03/05/2013,7Yr,1.27,0
26916,03/06/2013,7Yr,1.31,0
26915,03/07/2013,7Yr,1.36,0
26914,03/08/2013,7Yr,1.43,0
26913,03/11/2013,7Yr,1.43,0
26912,03/12/2013,7Yr,1.4,0
26911,03/13/2013,7Yr,1.41,0
26910,03/14/2013,7Yr,1.4,0
26909,03/15/2013,7Yr,1.35,0
26908,03/18/2013,7Yr,1.31,0
26907,03/19/2013,7Yr,1.28,0
26906,03/20/2013,7Yr,1.32,0
26905,03/21/2013,7Yr,1.3,0
26904,03/22/2013,7Yr,1.29,0
26903,03/25/2013,7Yr,1.28,0
26902,03/26/2013,7Yr,1.27,0
26901,03/27/2013,7Yr,1.22,0
26900,03/28/2013,7Yr,1.24,0
26899,04/01/2013,7Yr,1.23,0
26898,04/02/2013,7Yr,1.26,0
26897,04/03/2013,7Yr,1.2,0
26896,04/04/2013,7Yr,1.15,0
26895,04/05/2013,7Yr,1.12,0
26894,04/08/2013,7Yr,1.15,0
26893,04/09/2013,7Yr,1.16,0
26892,04/10/2013,7Yr,1.21,0
26891,04/11/2013,7Yr,1.2,0
26890,04/12/2013,7Yr,1.14,0
26889,04/15/2013,7Yr,1.12,0
26888,04/16/2013,7Yr,1.15,0
26887,04/17/2013,7Yr,1.13,0
26886,04/18/2013,7Yr,1.13,0
26885,04/19/2013,7Yr,1.14,0
26884,04/22/2013,7Yr,1.13,0
26883,04/23/2013,7Yr,1.14,0
26882,04/24/2013,7Yr,1.13,0
26881,04/25/2013,7Yr,1.15,0
26880,04/26/2013,7Yr,1.1,0
26879,04/29/2013,7Yr,1.1,0
26878,04/30/2013,7Yr,1.11,0
26877,05/01/2013,7Yr,1.07,0
